parameter,value,population_mean,mean_sd,optimal_bid,p_win_pct,relative_note
fan_share,0.25,160.92934945108658,0.46311202259790823,161.03,0.4113837566807346,one-way change; all other parameters baseline
fan_share,0.3,162.83821043685992,0.46580487344713883,162.86,0.4213463813392054,one-way change; all other parameters baseline
fan_share,0.35,164.74250168528806,0.4670546085842762,164.83,0.3866671983771471,one-way change; all other parameters baseline
fan_share,0.4,166.65098349018044,0.47429612231622575,166.8,0.3755573626577327,one-way change; all other parameters baseline
fan_share,0.45,168.55823615084464,0.4775003498347934,168.48,0.3696185080164238,one-way change; all other parameters baseline
ai_share,0.1,164.7726743991787,0.382221067575566,164.74,0.6259781788759045,one-way change; all other parameters baseline
ai_share,0.15,164.76036920101978,0.41987181933807805,164.71,0.49317436908062107,one-way change; all other parameters baseline
ai_share,0.2,164.74248653409634,0.46763078463058694,164.81,0.3904260953995532,one-way change; all other parameters baseline
ai_share,0.25,164.72551996038172,0.5308951149269386,164.57,0.3240086456418771,one-way change; all other parameters baseline
ai_share,0.3,164.70837442649136,0.5998120468933766,164.86,0.2644804339018619,one-way change; all other parameters baseline
rho_ai,low,164.7403845014833,0.35578041851577613,164.74,0.5159286687353404,one-way change; all other parameters baseline
rho_ai,medium,164.7411226757265,0.468477685918298,164.69,0.38921044943359934,one-way change; all other parameters baseline
rho_ai,high,164.7392166763975,0.676907219903137,164.74,0.29567124966845587,one-way change; all other parameters baseline
one_tenth_obedience,low,169.16608022598513,0.5604447836500863,169.3,0.37732713467130974,one-way change; all other parameters baseline
one_tenth_obedience,medium,164.74495987826796,0.47138369259038715,164.65,0.3667453861859471,one-way change; all other parameters baseline
one_tenth_obedience,high,159.58290496083518,0.3801856042999304,159.54,0.40880258078927384,one-way change; all other parameters baseline
fan_nonAI_mean,180.0,160.60364360451487,0.4609114883501432,160.58,0.45987741189002973,one-way change; all other parameters baseline
fan_nonAI_mean,188.0,162.6732073107229,0.4696431114388285,162.76,0.4127302740497679,one-way change; all other parameters baseline
fan_nonAI_mean,196.0,164.7384626240791,0.4717141275144257,164.75,0.3826440970085838,one-way change; all other parameters baseline
fan_nonAI_mean,204.0,166.8215239948779,0.4797336385388234,166.86,0.39117655742393254,one-way change; all other parameters baseline
fan_nonAI_mean,212.0,168.88549913213308,0.4833594025804728,168.82,0.37645749165681525,one-way change; all other parameters baseline
nonfan_nonAI_mean,136.0,158.25354007769226,0.4842351322349333,158.29,0.4861875699381466,one-way change; all other parameters baseline
nonfan_nonAI_mean,142.0,161.49907170883176,0.47220337726735184,161.65,0.45414155548119706,one-way change; all other parameters baseline
nonfan_nonAI_mean,148.0,164.7452117524082,0.47159491582681323,164.78,0.4049864790765341,one-way change; all other parameters baseline
nonfan_nonAI_mean,154.0,167.98946260529536,0.46516765945769095,167.94,0.37636247520733146,one-way change; all other parameters baseline
nonfan_nonAI_mean,160.0,171.23753052541267,0.46242732351608756,171.18,0.3780462708343911,one-way change; all other parameters baseline
sigma_ai,2.0,164.73790546711953,0.4705014867273858,164.59,0.31862112369737655,one-way change; all other parameters baseline
sigma_ai,6.0,164.74229314929212,0.4691752553487757,164.87,0.3894219581056934,one-way change; all other parameters baseline
sigma_ai,12.0,164.74142394735452,0.4706743834126207,164.89,0.4540554575013271,one-way change; all other parameters baseline
